FID	Longitude	Latitude	Type	NEIGH_NAME	BELEDIYE
79	39.665391	24.462868	إزالة اللوحات الدعائية المخالفة	حى الخالد	العوالي
80	39.66255	24.469585	إزالة اللوحات الدعائية المخالفة	حى الخالد	العوالي
81	39.663641	24.466944	معالجة محطات الوقود	حى الخالد	العوالي
82	39.664177	24.466119	ازالة مخلفات البناء والهدم ونواتج الحفر	حى الخالد	العوالي
83	39.664273	24.465954	ازالة مخلفات البناء والهدم ونواتج الحفر	حى الخالد	العوالي
84	39.667388	24.452683	ازالة مخلفات البناء والهدم ونواتج الحفر	حى الخالد	العوالي
85	39.66438	24.465159	رخص المحلات	حى الخالد	العوالي
86	39.667516	24.455164	رخص المحلات	حى الخالد	العوالي
87	39.651533	24.484087	تحسين وجهات	حى شـظاة	العوالي
88	39.651313	24.484237	تحسين وجهات	حى شـظاة	العوالي
89	39.650914	24.4847	تحسين وجهات	حى شـظاة	العوالي
90	39.651294	24.484163	إزالة السيارات التالفة والمهملة	حى شـظاة	العوالي
91	39.646469	24.489354	إزالة السيارات التالفة والمهملة	حى شـظاة	العوالي
92	39.646275	24.489952	إزالة السيارات التالفة والمهملة	حى شـظاة	العوالي
93	39.653349	24.482004	صبات خراصانية	حى شـظاة	العوالي
94	39.653353	24.481961	معالجة حاويات النظافة	حى شـظاة	العوالي
95	39.651075	24.484604	معالجة حاويات النظافة	حى شـظاة	العوالي
96	39.650802	24.484611	معالجة حاويات النظافة	حى شـظاة	العوالي
97	39.6503	24.485284	معالجة حاويات النظافة	حى شـظاة	العوالي
98	39.652941	24.48242	إزالة اللوحات الدعائية المخالفة	حى شـظاة	العوالي
99	39.652855	24.482514	إزالة اللوحات الدعائية المخالفة	حى شـظاة	العوالي
100	39.651231	24.484314	إزالة المباني الايلة للسقوط	حى شـظاة	العوالي
101	39.653844	24.48144	رخص المحلات	حى شـظاة	العوالي
102	39.653156	24.482111	رخص المحلات	حى شـظاة	العوالي
103	39.650769	24.48484	رخص المحلات	حى شـظاة	العوالي
104	39.650599	24.484977	رخص المحلات	حى شـظاة	العوالي
105	39.650092	24.485495	رخص المحلات	حى شـظاة	العوالي
106	39.654647	24.480571	رخص المحلات	حى شـظاة	العوالي
107	39.653898	24.481304	رخص المحلات	حى شـظاة	العوالي
108	39.653114	24.482153	رخص المحلات	حى شـظاة	العوالي
109	39.651025	24.48442	رخص المحلات	حى شـظاة	العوالي
110	39.650175	24.48535	رخص المحلات	حى شـظاة	العوالي
111	39.624021	24.420128	معالجة حاويات النظافة	حى السـد	قباء
112	39.628815	24.420896	ازالة مخلفات البناء والهدم ونواتج الحفر	حى السـد	قباء
113	39.629546	24.421019	ازالة مخلفات البناء والهدم ونواتج الحفر	حى السـد	قباء
114	39.63198	24.421243	ازالة مخلفات البناء والهدم ونواتج الحفر	حى السـد	قباء
115	39.633274	24.421492	ازالة مخلفات البناء والهدم ونواتج الحفر	حى السـد	قباء
116	39.633932	24.421735	ازالة مخلفات البناء والهدم ونواتج الحفر	حى السـد	قباء
117	39.623449	24.420144	رخص المحلات	حى السـد	قباء
118	39.656734	24.4783	إزالة السيارات التالفة والمهملة	حى المبعو	العوالي
119	39.65879	24.476049	إزالة المظلات والهناكر (داخل الاحياء)	حى المبعو	العوالي
120	39.65832	24.476635	إزالة المظلات والهناكر (داخل الاحياء)	حى المبعو	العوالي
121	39.656476	24.478517	إزالة السيارات التالفة والمهملة	حى المبعو	العوالي
122	39.661404	24.473101	صبات خراصانية	حى المبعو	العوالي
123	39.661623	24.472978	إزالة اللوحات الدعائية المخالفة	حى المبعو	العوالي
124	39.660297	24.474936	ازالة مخلفات البناء والهدم ونواتج الحفر	حى المبعو	العوالي
125	39.658482	24.47636	رخص المحلات	حى المبعو	العوالي
126	39.662815	24.47261	رخص المحلات	حى المبعو	العوالي
127	39.658776	24.476131	اسكراب وتشليح	حى المبعو	العوالي
128	39.594941	24.446957	إزالة السيارات التالفة والمهملة	حى الظاهر	قباء
129	39.593408	24.449585	إزالة السيارات التالفة والمهملة	حى الظاهر	قباء
130	39.596392	24.444552	صبات خراصانية	حى الظاهر	قباء
131	39.596127	24.445271	صبات خراصانية	حى الظاهر	قباء
132	39.595617	24.445846	صبات خراصانية	حى الظاهر	قباء
133	39.595353	24.446273	صبات خراصانية	حى الظاهر	قباء
134	39.594482	24.447655	صبات خراصانية	حى الظاهر	قباء
135	39.597432	24.442846	اسكراب وتشليح	حى الظاهر	قباء
136	39.592139	24.451514	اسكراب وتشليح	حى الظاهر	قباء
137	39.594069	24.448455	اسكراب وتشليح	حى الظاهر	قباء
138	39.596494	24.444361	تنسيق الاشجار والزهور	حى الظاهر	قباء
139	39.596449	24.444457	تنسيق الاشجار والزهور	حى الظاهر	قباء
140	39.59532	24.446297	تنسيق الاشجار والزهور	حى الظاهر	قباء
141	39.59521	24.446481	تنسيق الاشجار والزهور	حى الظاهر	قباء
142	39.595155	24.446568	تنسيق الاشجار والزهور	حى الظاهر	قباء
143	39.595098	24.446657	تنسيق الاشجار والزهور	حى الظاهر	قباء
144	39.595043	24.446749	تنسيق الاشجار والزهور	حى الظاهر	قباء
145	39.593017	24.450068	تنسيق الاشجار والزهور	حى الظاهر	قباء
146	39.59296	24.45015	تنسيق الاشجار والزهور	حى الظاهر	قباء
147	39.592237	24.451326	تنسيق الاشجار والزهور	حى الظاهر	قباء
148	39.596223	24.445057	إزالة اللوحات الدعائية المخالفة	حى الظاهر	قباء
149	39.59289	24.450371	إزالة اللوحات الدعائية المخالفة	حى الظاهر	قباء
150	39.592873	24.450526	رخص المحلات	حى الظاهر	قباء
151	39.593835	24.448725	رخص المحلات	حى الظاهر	قباء
152	39.607829	24.426732	إزالة المباني الايلة للسقوط	حى العصبة	قباء
153	39.607455	24.427144	إزالة المباني الايلة للسقوط	حى العصبة	قباء
154	39.607319	24.427313	إزالة المظلات والهناكر (داخل الاحياء)	حى العصبة	قباء
155	39.610878	24.424253	صبات خراصانية	حى العصبة	قباء
156	39.618434	24.421314	اسكراب وتشليح	حى العصبة	قباء
157	39.606566	24.428218	اسكراب وتشليح	حى العصبة	قباء
158	39.607813	24.426746	معالجة حاويات النظافة	حى العصبة	قباء
159	39.60746	24.427111	معالجة حاويات النظافة	حى العصبة	قباء
160	39.607115	24.42752	معالجة حاويات النظافة	حى العصبة	قباء
161	39.606638	24.428289	معالجة حاويات النظافة	حى العصبة	قباء
162	39.608343	24.426339	إزالة اللوحات الدعائية المخالفة	حى العصبة	قباء
163	39.608131	24.426509	إزالة اللوحات الدعائية المخالفة	حى العصبة	قباء
164	39.606486	24.428337	إزالة اللوحات الدعائية المخالفة	حى العصبة	قباء
165	39.60708	24.427858	إزالة اللوحات الدعائية المخالفة	حى العصبة	قباء
166	39.606807	24.428017	معالجة محطات الوقود	حى العصبة	قباء
167	39.60777	24.426877	رخص المحلات	حى العصبة	قباء
168	39.607652	24.42695	رخص المحلات	حى العصبة	قباء
169	39.606655	24.428152	رخص المحلات	حى العصبة	قباء
170	39.608262	24.426424	رخص المحلات	حى العصبة	قباء
171	39.607345	24.427304	رخص المحلات	حى العصبة	قباء
172	39.607243	24.427415	رخص المحلات	حى العصبة	قباء
173	39.62797	24.42157	إزالة المظلات والهناكر (داخل الاحياء)	حي الخاتم	قباء
174	39.623358	24.421003	إزالة المظلات والهناكر (داخل الاحياء)	حي الخاتم	قباء
175	39.623036	24.421046	إزالة المظلات والهناكر (داخل الاحياء)	حي الخاتم	قباء
176	39.632787	24.422491	إزالة المباني الايلة للسقوط	حي الخاتم	قباء
177	39.626579	24.421513	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حي الخاتم	قباء
